,movie,year,imdb,metascore,votes
0,Gladiator,(2000),8.5,67,1192998
1,Memento,(2000),8.5,80,1017794
2,Snatch,(2000),8.3,55,709265
3,Requiem for a Dream,(2000),8.3,68,690861
4,X-Men,(2000),7.4,64,528547
5,Cast Away,(2000),7.8,73,466977
6,American Psycho,(2000),7.6,64,424284
7,Unbreakable,(2000),7.3,62,339292
8,Meet the Parents,(2000),7.0,73,290919
9,Mission: Impossible II,(2000),6.1,59,287596
10,"O Brother, Where Art Thou?",(2000),7.8,69,262040
11,Gone in Sixty Seconds,(2000),6.5,35,243912
12,Wo hu cang long,(2000),7.9,93,238198
13,The Patriot,(2000),7.2,63,235292
14,Almost Famous,(2000),7.9,90,233055
15,Scary Movie,(2000),6.2,48,212736
16,Pitch Black,(2000),7.1,49,212642
17,Final Destination,(2000),6.7,36,208762
18,"Me, Myself & Irene",(2000),6.6,49,208121
19,The Beach,(I) (2000),6.6,43,206030
20,Amores perros,(2000),8.1,83,205138
21,Traffic,(2000),7.6,86,185151
22,Remember the Titans,(2000),7.8,48,182838
23,How the Grinch Stole Christmas,(2000),6.1,46,181781
24,What Women Want,(2000),6.4,47,179111
25,Chocolat,(2000),7.3,64,167127
26,Miss Congeniality,(2000),6.2,43,167016
27,Chicken Run,(2000),7.0,88,162022
28,Charlie's Angels,(2000),5.5,52,161650
29,Batoru rowaiaru,(2000),7.7,81,157964
30,The Emperor's New Groove,(2000),7.3,70,157820
31,High Fidelity,(2000),7.5,79,157346
32,Erin Brockovich,(2000),7.3,73,157260
33,Road Trip,(2000),6.5,55,147355
34,The Perfect Storm,(2000),6.4,59,145853
35,"Dude, Where's My Car?",(2000),5.5,30,127790
36,Hollow Man,(2000),5.7,24,113820
37,Billy Elliot,(2000),7.7,74,113495
38,Scream 3,(2000),5.6,56,113141
39,Shanghai Noon,(2000),6.6,77,110798
40,The 6th Day,(2000),5.9,49,109760
41,What Lies Beneath,(2000),6.6,51,109426
42,Pay It Forward,(2000),7.2,40,106565
43,Faa yeung nin wa,(2000),8.1,85,103664
44,The Whole Nine Yards,(2000),6.7,47,101571
45,Coyote Ugly,(2000),5.7,27,100156
46,Men of Honor,(2000),7.2,56,100112
47,The Family Man,(2000),6.8,42,96470
48,Frequency,(2000),7.4,67,93737
49,Gladiator,(2000),8.5,67,1192998
50,Memento,(2000),8.5,80,1017794
51,Snatch,(2000),8.3,55,709265
52,Requiem for a Dream,(2000),8.3,68,690861
53,X-Men,(2000),7.4,64,528547
54,Cast Away,(2000),7.8,73,466977
55,American Psycho,(2000),7.6,64,424284
56,Unbreakable,(2000),7.3,62,339292
57,Meet the Parents,(2000),7.0,73,290919
58,Mission: Impossible II,(2000),6.1,59,287596
59,"O Brother, Where Art Thou?",(2000),7.8,69,262040
60,Gone in Sixty Seconds,(2000),6.5,35,243912
61,Wo hu cang long,(2000),7.9,93,238198
62,The Patriot,(2000),7.2,63,235292
63,Almost Famous,(2000),7.9,90,233055
64,Scary Movie,(2000),6.2,48,212736
65,Pitch Black,(2000),7.1,49,212642
66,Final Destination,(2000),6.7,36,208762
67,"Me, Myself & Irene",(2000),6.6,49,208121
68,The Beach,(I) (2000),6.6,43,206030
69,Amores perros,(2000),8.1,83,205138
70,Traffic,(2000),7.6,86,185151
71,Remember the Titans,(2000),7.8,48,182838
72,How the Grinch Stole Christmas,(2000),6.1,46,181781
73,What Women Want,(2000),6.4,47,179111
74,Chocolat,(2000),7.3,64,167127
75,Miss Congeniality,(2000),6.2,43,167016
76,Chicken Run,(2000),7.0,88,162022
77,Charlie's Angels,(2000),5.5,52,161650
78,Batoru rowaiaru,(2000),7.7,81,157964
79,The Emperor's New Groove,(2000),7.3,70,157820
80,High Fidelity,(2000),7.5,79,157346
81,Erin Brockovich,(2000),7.3,73,157260
82,Road Trip,(2000),6.5,55,147355
83,The Perfect Storm,(2000),6.4,59,145853
84,"Dude, Where's My Car?",(2000),5.5,30,127790
85,Hollow Man,(2000),5.7,24,113820
86,Billy Elliot,(2000),7.7,74,113495
87,Scream 3,(2000),5.6,56,113141
88,Shanghai Noon,(2000),6.6,77,110798
89,The 6th Day,(2000),5.9,49,109760
90,What Lies Beneath,(2000),6.6,51,109426
91,Pay It Forward,(2000),7.2,40,106565
92,Faa yeung nin wa,(2000),8.1,85,103664
93,The Whole Nine Yards,(2000),6.7,47,101571
94,Coyote Ugly,(2000),5.7,27,100156
95,Men of Honor,(2000),7.2,56,100112
96,The Family Man,(2000),6.8,42,96470
97,Frequency,(2000),7.4,67,93737
98,Gladiator,(2000),8.5,67,1192998
99,Memento,(2000),8.5,80,1017794
100,Snatch,(2000),8.3,55,709265
101,Requiem for a Dream,(2000),8.3,68,690861
102,X-Men,(2000),7.4,64,528547
103,Cast Away,(2000),7.8,73,466977
104,American Psycho,(2000),7.6,64,424284
105,Unbreakable,(2000),7.3,62,339292
106,Meet the Parents,(2000),7.0,73,290919
107,Mission: Impossible II,(2000),6.1,59,287596
108,"O Brother, Where Art Thou?",(2000),7.8,69,262040
109,Gone in Sixty Seconds,(2000),6.5,35,243912
110,Wo hu cang long,(2000),7.9,93,238198
111,The Patriot,(2000),7.2,63,235292
112,Almost Famous,(2000),7.9,90,233055
113,Scary Movie,(2000),6.2,48,212736
114,Pitch Black,(2000),7.1,49,212642
115,Final Destination,(2000),6.7,36,208762
116,"Me, Myself & Irene",(2000),6.6,49,208121
117,The Beach,(I) (2000),6.6,43,206030
118,Amores perros,(2000),8.1,83,205138
119,Traffic,(2000),7.6,86,185151
120,Remember the Titans,(2000),7.8,48,182838
121,How the Grinch Stole Christmas,(2000),6.1,46,181781
122,What Women Want,(2000),6.4,47,179111
123,Chocolat,(2000),7.3,64,167127
124,Miss Congeniality,(2000),6.2,43,167016
125,Chicken Run,(2000),7.0,88,162022
126,Charlie's Angels,(2000),5.5,52,161650
127,Batoru rowaiaru,(2000),7.7,81,157964
128,The Emperor's New Groove,(2000),7.3,70,157820
129,High Fidelity,(2000),7.5,79,157346
130,Erin Brockovich,(2000),7.3,73,157260
131,Road Trip,(2000),6.5,55,147355
132,The Perfect Storm,(2000),6.4,59,145853
133,"Dude, Where's My Car?",(2000),5.5,30,127790
134,Hollow Man,(2000),5.7,24,113820
135,Billy Elliot,(2000),7.7,74,113495
136,Scream 3,(2000),5.6,56,113141
137,Shanghai Noon,(2000),6.6,77,110798
138,The 6th Day,(2000),5.9,49,109760
139,What Lies Beneath,(2000),6.6,51,109426
140,Pay It Forward,(2000),7.2,40,106565
141,Faa yeung nin wa,(2000),8.1,85,103664
142,The Whole Nine Yards,(2000),6.7,47,101571
143,Coyote Ugly,(2000),5.7,27,100156
144,Men of Honor,(2000),7.2,56,100112
145,The Family Man,(2000),6.8,42,96470
146,Frequency,(2000),7.4,67,93737
147,Gladiator,(2000),8.5,67,1192998
148,Memento,(2000),8.5,80,1017794
149,Snatch,(2000),8.3,55,709265
150,Requiem for a Dream,(2000),8.3,68,690861
151,X-Men,(2000),7.4,64,528547
152,Cast Away,(2000),7.8,73,466977
153,American Psycho,(2000),7.6,64,424284
154,Unbreakable,(2000),7.3,62,339292
155,Meet the Parents,(2000),7.0,73,290919
156,Mission: Impossible II,(2000),6.1,59,287596
